Product Name,Article Number,Product Description,Designer,Number of Ratings,Overall Rating,Product Department,Product Subfunction,Number of Packages,Package Width,Package Height,Package Length,Package Weight
STORNÄS,601.523.40,"When all you want is a simple, robust table with generous dimensions for your favorite plates, candles, and flowers. Made of natural solid pine for an honest feel, and easy to extend when company comes over.",Carina Bengs,27,4.9,Dining,Up to 10 seats,1,106 cm,11 cm,114 cm,36.60 kg
BJURSTA,301.162.64,"This table is extendable so you always have room for guests, and the hidden lock prevents annoying gaps between the leaves. The wipe-clean surface helps you to cope with mealtime spills.",Tord Björklund,75,4.6,Dining,Extendable tables,1,84 cm,8 cm,90 cm,29.90 kg
NORDEN,102.902.21,"Gateleg tables have been around for centuries – with the space-saving design it’s no wonder why. We gave this table a straightforward, Scandinavian look and added a few drawers for flatware and napkins.",,75,4.4,Dining,Up to 4 seats,1,66 cm,11 cm,82 cm,26.20 kg
NORRÅKER,802.908.16,Each table expresses straightforward Scandinavian design in birch with varying grain patterns and natural color shifts. Approved for public use – so you know it can handle eager children and wild friends.,J Karlsson/N Karlsson,8,4.9,Dining,Café tables,1,82 cm,4 cm,225 cm,31.76 kg
NORDEN,702.902.23,"Gateleg tables have been around for centuries – with the space-saving design it’s no wonder why. We gave this table a straightforward, Scandinavian look and added a few drawers for flatware and napkins.",,73,4.6,Dining,Up to 4 seats,1,65 cm,8 cm,82 cm,24.00 kg
LERHAMN,802.642.71,"Small dimensions make the table easy to furnish with, even when space is limited.",Nike Karlsson,15,4.9,Dining,Up to 4 seats,1,38 cm,5 cm,76 cm,5.60 kg
LERHAMN,402.642.73,"Small dimensions make the table easy to furnish with, even when space is limited.",Nike Karlsson,8,5,Dining,Up to 4 seats,1,38 cm,5 cm,76 cm,5.60 kg
LERHAMN,602.594.21,"Small dimensions make the table easy to furnish with, even when space is limited.",Nike Karlsson,15,4.1,Dining,Up to 4 seats,1,35 cm,5 cm,108 cm,6.70 kg
GAMLEBY,602.470.27,This table folds small for everyday use and opens-up for big occasions. The drawer underneath keeps napkins and cutlery close at hand. Combines nicely with GAMLEBY chairs.,IKEA of Sweden,13,4.7,Dining,Up to 6 seats,1,77 cm,16 cm,82 cm,31.70 kg
NORDEN,402.425.92,Extendable dining table with 1 extra leaf seats 4-6; makes it possible to adjust the table size according to need.,Mikael Warnhammar,17,4.5,Dining,Up to 6 seats,1,80 cm,10 cm,100 cm,25.90 kg
STORNÄS,401.768.46,"When all you want is a simple, robust table with generous dimensions for your favorite plates, candles, and flowers. Made of natural solid pine for an honest feel, and easy to extend when company comes over.",Carina Bengs,23,4.4,Dining,Up to 6 seats,1,79 cm,8 cm,100 cm,22.69 kg
STORNÄS,201.768.47,"When all you want is a simple, robust table with generous dimensions for your favorite plates, candles, and flowers. Made of natural solid pine for an honest feel, and easy to extend when company comes over.",Carina Bengs,4,4.8,Dining,Up to 6 seats,1,79 cm,8 cm,100 cm,22.69 kg
MÖCKELBY,002.937.72,The solid oak top layer gives each table a unique character that you can feel proud of and live with for a long time. The plank feeling is achieved with modern production techniques that use less wood.,Marcus Arvonen,16,4.6,Dining,Up to 6 seats,1,53 cm,5 cm,242 cm,31.17 kg
INGATORP,402.170.69,Everyone faces each other around a round table and you can make room for socializing by simply adding a leaf. A traditional look with details like the turned leg gives it that little extra.,Carina Bengs,37,3.4,Dining,Extendable tables,1,74 cm,11 cm,115 cm,19.94 kg
INGATORP,802.170.72,Everyone faces each other around a round table and you can make room for socializing by simply adding a leaf. A traditional look with details like the turned leg gives it that little extra.,Carina Bengs,26,4.2,Dining,Extendable tables,1,74 cm,11 cm,115 cm,19.94 kg
LISABO,803.824.39,"We’re proud of our LISABO series, awarded with the prestigious, international Red Dot Award, for its design. The products are durable, sturdy and easy to assemble, yet look light and hand-crafted.",K Hagberg/M Hagberg,2,4.5,Dining,Up to 4 seats,1,81 cm,6 cm,164 cm,23.00 kg
LERHAMN,102.642.79,"Small dimensions make the table easy to furnish with, even when space is limited.",Nike Karlsson,15,4.8,Dining,Up to 4 seats,1,35 cm,6 cm,108 cm,6.70 kg
INGATORP,702.214.23,It’s easy to extend when guests arrive – the legs of the table stay in the corner so everyone sits comfortably. A traditional look with details like turned legs give it that little extra.,Carina Bengs,16,3.8,Dining,Up to 6 seats,1,94 cm,13 cm,160 cm,39.30 kg
DOCKSTA,400.636.32,"At this round table, everyone faces each other and can take part in the discussion. Food is within everyone’s reach and there are no legs that get in the way under the table. Enjoy!",IKEA of Sweden,47,4,Dining,Up to 4 seats,1,61 cm,16 cm,82 cm,17.08 kg
INGO,146.300.09,,Gillis Lundgren,28,4.7,Dining,Up to 4 seats,1,77 cm,8 cm,122 cm,15.60 kg
IKEA PS 2012,202.068.06,"Table top made of bamboo, a strong and flexible material.
								                                                                                          
								Small dimensions make the table easy to furnish with, even when space is limited.",Jon Karlsson,18,4.7,Dining,Up to 4 seats,1,76 cm,10 cm,82 cm,19.21 kg
LISABO,702.943.39,"We’re proud of our LISABO series, awarded with the prestigious, international Red Dot Award, for its design. The products are durable, sturdy and easy to assemble, yet look light and hand-crafted.",K Hagberg/M Hagberg,23,4.6,Dining,Up to 4 seats,1,81 cm,6 cm,164 cm,23.00 kg
BJURSTA,802.175.24,Becomes a practical shelf for small things when folded down.,IKEA of Sweden,31,4.5,Dining,Wall-mounted tables,1,40 cm,6 cm,97 cm,8.60 kg
NORBERG,301.805.04,Becomes a practical shelf for small things when folded down.,Marcus Arvonen,24,4.1,Dining,Bar tables,1,47 cm,5 cm,76 cm,8.88 kg
ANVÄNDBAR,103.460.77,"A new dining table concept? Under the warm bamboo surface is a smart box for flatware, pens or to keep fresh herbs close at hand. If you’re doing computer work, you can lead the cord through the box.",Mikael Axelsson,2,4,Dining,Up to 4 seats,1,101 cm,4 cm,187 cm,17.08 kg
RYDEBÄCK,802.814.16,The table top is produced with a lightweight construction that requires less material than solid wood and reduces the impact on the environment.,IKEA of Sweden,2,1,Dining,Dining table tops & underframes,1,81 cm,5 cm,153 cm,17.60 kg
RYDEBÄCK,502.814.08,The table top is produced with a lightweight construction that requires less material than solid wood and reduces the impact on the environment.,IKEA of Sweden,4,5,Dining,Dining table tops & underframes,1,81 cm,5 cm,153 cm,17.60 kg
SLÄHULT,302.471.04,"The melamine table top is moisture resistant, stain resistant and easy to keep clean.",IKEA of Sweden,3,3.7,Dining,Dining table tops & underframes,1,90 cm,2 cm,185 cm,23.90 kg
GAMLARED,303.712.40,"Small dimensions make the table easy to furnish with, even when space is limited.",Mikael Axelsson,7,4.3,Dining,Up to 4 seats,1,89 cm,6 cm,102 cm,13.45 kg
ÖVRARYD,903.057.23,"Table top made of bamboo, a strong and flexible material.
								                                                                                          
								The table top has pre-drilled holes for the underframe which makes assembly easy.",David Wahl,7,5,Dining,Dining table tops & underframes,1,80 cm,3 cm,157 cm,19.34 kg
RYGGESTAD,102.794.26,"There’s a natural and living feeling of wood, as knots and other marks remain on the surface.",IKEA of Sweden,4,4.3,Dining,Dining table tops & underframes,1,80 cm,4 cm,174 cm,14.95 kg
OPPEBY,002.794.36,The high-gloss surface reflects light and gives a vibrant look.,Chris Martin,5,5,Dining,Dining table tops & underframes,1,92 cm,3 cm,194 cm,24.60 kg
VÄSTANBY,302.794.49,"The clear-lacquered surface is easy to wipe clean.
								                                                                                          
								The table top has pre-drilled holes for the underframe which makes assembly easy.",IKEA of Sweden,na,See Reviews,Dining,Dining table tops & underframes,1,81 cm,6 cm,174 cm,26.35 kg
BACKARYD,502.471.41,,David Wahl,1,5,Dining,Dining table tops & underframes,1,74 cm,5 cm,75 cm,8.50 kg
BACKARYD,902.471.39,,David Wahl,2,5,Dining,Dining table tops & underframes,1,74 cm,5 cm,75 cm,8.50 kg
VANGSTA,803.615.64,Extendable dining table with 1 extra leaf seats 4-6; makes it possible to adjust the table size according to need.,IKEA of Sweden,18,4.5,Dining,Up to 4 seats,1,77 cm,5 cm,123 cm,18.60 kg
DALSHULT,402.472.07,Solid wood is a hardwearing natural material that can take the wear and tear of everyday use.,Wiebke Braasch,1,5,Dining,Dining table tops & underframes,1,33 cm,6 cm,128 cm,8.44 kg
GREBBESTAD,302.794.30,,Chris Martin,1,5,Dining,Dining table tops & underframes,1,28 cm,9 cm,111 cm,10.50 kg
VÄSTANÅ,702.794.47,Solid wood is a hardwearing natural material that can take the wear and tear of everyday use.,Chris Martin,1,5,Dining,Dining table tops & underframes,1,35 cm,7 cm,123 cm,15.56 kg
EKEDALEN,703.408.07,A durable dining set that makes it easy to have big dinners. A single person can extend the table and there’s plenty of room for chairs since the legs are always located at the corners of the table.,Ehlén Johansson,7,5,Dining,Up to 6 seats,1,82 cm,5 cm,130 cm,20.40 kg
INDUSTRIELL,803.945.26,"Whoever said that mass-produced products have to look the same? The opposite is evident here – rustic, sturdy furniture with a handmade feel where the color, woodwork and surface varies.",Piet Hein Eek,1,5,Dining,Up to 6 seats,1,26 cm,9 cm,196 cm,14.70 kg
INGATORP,404.231.06,"It’s perfect for a smaller kitchen or as an accent in a larger room. You can go three ways – no leaves, one leaf, or two. A traditional look with details like turned legs give it that little extra.",Carina Bengs,4,5,Dining,Extendable tables,1,69 cm,10 cm,82 cm,18.10 kg
INGATORP,902.224.07,It’s easy to extend when guests arrive – the legs of the table stay in the corner so everyone sits comfortably. A traditional look with details like turned legs give it that little extra.,Carina Bengs,12,4.7,Dining,Up to 6 seats,1,91 cm,12 cm,160 cm,36.22 kg
KEJSARKRONA,003.682.77,Solid wood is a durable natural material.,,7,4.1,Dining,Up to 6 seats,1,83 cm,12 cm,166 cm,43.17 kg
MÖRBYLÅNGA,604.128.85,The solid oak top layer gives each table a unique character that you can feel proud of and live with for a long time. The plank feeling is achieved with modern production techniques that use less wood.,S Lanneskog/J Marnell,na,See Reviews,Dining,Up to 4 seats,1,78 cm,5 cm,153 cm,21.32 kg
SKOGSTA,704.192.64,"Every table is unique, with varying grain pattern and natural color shifts that are part of the charm of wood.",Marcus Arvonen,na,See Reviews,Dining,Up to 10 seats,1,52 cm,5 cm,238 cm,32.00 kg
GÖKÄRT,602.812.24,A mattress protector with cotton and polyester blend fabric and a waterproof layer that prevents liquid from passing through.,,108,4.6,Dining,Mattress & pillow protectors,1,27 cm,6 cm,35 cm,0.70 kg
ÄNGSVIDE,902.810.53,A comfortered mattress protector with polyester and cotton blend fabric and polyester filling.,,60,4,Dining,Mattress & pillow protectors,1,na,na,46 cm,0.65 kg
PÄRLMALVA,603.154.36,A comfortered mattress protector with polyester fabric and polyester filling.,IKEA of Sweden,41,4.4,Dining,Mattress & pillow protectors,1,na,na,47 cm,0.62 kg
KUNGSMYNTA,402.555.65,A comfortered mattress protector with lyocell and cotton blend fabric and a lyocell and polyester mix filling.,,36,4.2,Dining,Mattress & pillow protectors,1,na,na,47 cm,1.32 kg
ÄNGSVIDE,002.810.81,A pillow protector with polyester and cotton blend fabric and polyester filling.,,26,4.7,Dining,Mattress & pillow protectors,1,19 cm,3 cm,26 cm,0.21 kg
KUNGSMYNTA,502.555.84,"A pillow protector with lyocell and cotton blend fabric, and a lyocell and polyester mix filling.",,13,4.9,Dining,Mattress & pillow protectors,1,18 cm,6 cm,32 cm,0.37 kg
ROSENDUN,002.604.94,"A comfortered pillow protector with lyocell and cotton blend fabric, and a lyocell and polyester mix filling.",,6,4.5,Dining,Mattress & pillow protectors,1,19 cm,7 cm,27 cm,0.43 kg
ROSENDUN,202.604.88,A comfortered mattress protector with lyocell and cotton blend fabric and a lyocell and polyester mix filling.,,14,4.1,Dining,Mattress & pillow protectors,1,na,na,47 cm,1.69 kg
STJÄRNLÖK,204.186.72,"A mattress protector in thick, soft polyester fabric.
								                                                                                          
								A mattress protector between your sheet and mattress protects from stains and dirt and prolongs the life of your mattress.",IKEA of Sweden,na,See Reviews,Dining,Mattress & pillow protectors,1,na,na,46 cm,0.39 kg
DRÖMLAND,303.195.63,"Made from cotton and lyocell – soft and natural materials that feel comfortable against your child's skin. Tested and contain no substances, phthalates or chemicals that can harm your child's skin or health.",Lisel Garsveden,3,5,Dining,Bed linen,1,19 cm,2 cm,28 cm,0.51 kg
TILLGIVEN,403.638.38,Warm and comfortable to snuggle up in after a bath. and the hood makes it easy to dry the hair. The soft towel is made of natural lyocell and sustainably grown cotton.,Annie Huldén,9,4.4,Dining,Towels & washcloths,1,37 cm,3 cm,57 cm,0.45 kg
TILLGIVEN,103.638.30,Warm and comfortable to snuggle up in after a bath. and the hood makes it easy to dry the hair. The soft towel is made of natural lyocell and sustainably grown cotton.,Annie Huldén,12,4.8,Dining,Towels & washcloths,1,37 cm,3 cm,57 cm,0.45 kg
LEN,001.308.79,The elastic keeps the sheet in place even if your child tosses and turns. Made of sustainably grown cotton – a soft material that breathes and absorbs moisture so your child sleeps tight all night.,IKEA of Sweden,5,4.8,Dining,Bed linen,1,15 cm,5 cm,28 cm,0.52 kg
LEN,203.201.90,The elastic keeps the sheet in place even if your baby tosses and turns. Made of sustainably grown cotton – a soft material that breathes and absorbs moisture so your child sleeps tight all night.,IKEA of Sweden,10,5,Dining,Bed linen,1,15 cm,4 cm,28 cm,0.52 kg
LEN,703.198.01,The elastic keeps the sheet in place even if your baby tosses and turns. Made of sustainably grown cotton – a soft material that breathes and absorbs moisture so your child sleeps tight all night.,IKEA of Sweden,10,4.8,Dining,Bed linen,1,15 cm,4 cm,28 cm,0.52 kg
LEN,503.198.02,The elastic keeps the sheet in place even if your baby tosses and turns. Made of sustainably grown cotton – a soft material that breathes and absorbs moisture so your child sleeps tight all night.,IKEA of Sweden,5,5,Dining,Bed linen,1,15 cm,4 cm,28 cm,0.52 kg
TILLGIVEN,303.640.46,Soft woven blanket that feels nice against the skin – perfect to put over your baby when it's time for a short nap.,Annie Huldén,4,4.5,Dining,Cushions & blankets,1,na,na,30 cm,0.36 kg
TILLGIVEN,503.640.50,Soft woven blanket that feels nice against the skin – perfect to put over your baby when it's time for a short nap.,Annie Huldén,6,4.7,Dining,Cushions & blankets,1,na,na,30 cm,0.36 kg
DRÖMLAND,103.197.19,Soft knitted blanket that feels nice against the skin – perfect to put over your baby when it's time for a short nap.,Lisel Garsveden,1,5,Dining,Cushions & blankets,1,na,na,29 cm,0.45 kg
STJÄRNBILD,703.197.21,"A colorful blanket of durable polyester with decorative seams, rounded corners and a playful pattern. Of course it’s also soft against your child's skin.",Susana Rodriguez Fernandez,5,4.4,Dining,Cushions & blankets,1,na,na,18 cm,0.22 kg
HIMMELSK,003.195.26,Keeps your child dry and comfortable by protecting their clothes and skin from moisture. Ideal during teething.,Susana Rodriguez Fernandez,20,4.9,Dining,Towels & washcloths,1,20 cm,3 cm,27 cm,0.07 kg
KRAMA,400.545.38,"You’ll soon discover how useful these washcloths are for wiping after eating, changing diapers or for a runny nose. Keep them handy, wash and reuse over and over again – and save on wet wipes.",IKEA of Sweden,60,4.7,Dining,Towels & washcloths,1,17 cm,4 cm,32 cm,0.32 kg
LEN,728.972.10,,IKEA of Sweden,22,4,Dining,Comforters & pillows,1,na,na,35 cm,0.16 kg
LEN,802.959.13,"Made from 100% smooth, fine thread cotton – an easy-care and durable material that you don’t need to iron since wrinkles and creases give more life to the cot skirt.",IKEA of Sweden,4,4.8,Dining,Bed linen,1,15 cm,4 cm,28 cm,0.33 kg
LEN,728.991.10,,IKEA of Sweden,11,4.6,Dining,Comforters & pillows,1,na,na,33 cm,0.59 kg
HIMMELSK,003.195.93,"The tightly-woven fabric is of 100% cotton and extra durable, fade-resistant and soft.",Susana Rodriguez Fernandez,5,5,Dining,Bed linen,1,29 cm,5 cm,36 cm,1.25 kg
HIMMELSK,103.195.64,"The tightly-woven fabric is of 100% cotton and extra durable, fade-resistant and soft.",Susana Rodriguez Fernandez,2,5,Dining,Bed linen,1,29 cm,5 cm,36 cm,1.25 kg
TILLGIVEN,903.637.70,Everything needed to make the crib ready for a new family member. Perfect to give as a gift to new parents.,Annie Huldén,1,5,Dining,Bed linen,1,30 cm,5 cm,36 cm,1.13 kg
TILLGIVEN,403.637.58,"Made from 100% sustainably grown cotton, a natural and durable material that gets softer with every wash.",Annie Huldén,4,5,Dining,Bed linen,1,19 cm,4 cm,28 cm,0.53 kg
TILLGIVEN,603.637.62,"Made from 100% sustainably grown cotton, a natural and durable material that gets softer with every wash.",Annie Huldén,na,See Reviews,Dining,Bed linen,1,19 cm,4 cm,28 cm,0.53 kg
HIMMELSK,803.196.31,"Can be mounted on the wall above a bed, an armchair etc.
								                                                                                          
								Filters the light, creates an atmosphere without blacking out.",Susana Rodriguez Fernandez,6,4.7,Dining,Canopies,1,27 cm,4 cm,51 cm,0.54 kg
HIMMELSK,603.195.90,"Reduces daylight from coming through, creates privacy and absorbs sound. It also has a certain insulating effect against the cold of the winter and the heat of summer.",Susana Rodriguez Fernandez,3,4.7,Dining,Curtains & drapes,1,26 cm,2 cm,35 cm,0.69 kg
HIMMELSK,503.567.76,"The pile of the rug dampens sound, creating a snug feeling, and is soft to walk on.",Susana Rodriguez Fernandez,6,3.5,Dining,Baby rugs,1,na,na,133 cm,3.38 kg
HIMMELSK,503.567.81,"The pile of the rug dampens sound, creating a snug feeling, and is soft to walk on.",Susana Rodriguez Fernandez,2,5,Dining,Baby rugs,1,na,na,133 cm,3.38 kg
BUSSIG,104.028.98,"Exterior made from 100% sustainably grown cotton, a natural and durable material that gets softer with every wash.",Jennifer Idrizi,na,See Reviews,Dining,Cushions & blankets,1,na,na,30 cm,0.33 kg
BUSSIG,403.654.46,"Made from 100% sustainably grown cotton, a natural and durable material that gets softer with every wash.",Jennifer Idrizi,1,5,Dining,Bed linen,1,19 cm,2 cm,28 cm,0.47 kg
BUSSIG,903.654.44,"Made from 100% sustainably grown cotton, a natural and durable material that gets softer with every wash.",Jennifer Idrizi,2,5,Dining,Bed linen,1,19 cm,2 cm,28 cm,0.40 kg
KLÄMMIG,803.732.13,Everything needed to make the crib ready for a new family member. Perfect to give as a gift to new parents.,Jennifer Idrizi,4,5,Dining,Bed linen,1,30 cm,5 cm,36 cm,1.26 kg
KLÄMMIG,103.730.42,Soft woven blanket that feels nice against the skin – perfect to put over your baby when it's time for a short nap.,Jennifer Idrizi,3,5,Dining,Cushions & blankets,1,na,na,29 cm,0.36 kg
KLÄMMIG,903.729.96,"Made from 100% sustainably grown cotton, a natural and durable material that gets softer with every wash.",Jennifer Idrizi,na,See Reviews,Dining,Bed linen,1,19 cm,2 cm,28 cm,0.49 kg
KLÄMMIG,103.729.95,"Made from 100% sustainably grown cotton, a natural and durable material that gets softer with every wash.",Jennifer Idrizi,2,5,Dining,Bed linen,1,19 cm,2 cm,28 cm,0.49 kg
KLÄMMIG,803.733.93,A safe and cozy alternative to bedding. This wearable blanket gives your child a comfortable sleep-temperature in the crib and during long walks in the stroller. It’s also practical to bring along when travelling.,Jennifer Idrizi,4,5,Dining,Sleeping bags,1,20 cm,3 cm,29 cm,0.31 kg
HIMMELSK,603.195.28,"Highly absorbent cloth made of 100% cotton – perfect to use during baths, diaper changes, or when burping, and always practical to bring in a bag or jacket pocket.",Susana Rodriguez Fernandez,10,5,Dining,Cushions & blankets,1,11 cm,5 cm,19 cm,0.20 kg
KLÄMMIG,003.733.54,A safe and cozy alternative to bedding. This wearable blanket gives your child a comfortable sleep-temperature in the crib and during long walks in the stroller. It’s also practical to bring along when travelling.,Jennifer Idrizi,na,See Reviews,Dining,Sleeping bags,1,20 cm,3 cm,24 cm,0.23 kg
SOLGUL,804.212.52,Soft woven blanket that feels nice against the skin – perfect to put over your baby when it's time for a short nap.,Jennifer Idrizi,na,See Reviews,Dining,Cushions & blankets,1,na,na,25 cm,0.33 kg
BUSSIG,803.671.51,Everything needed to make the crib ready for a new family member. Perfect to give as a gift to new parents.,Jennifer Idrizi,1,4,Dining,Bed linen,1,30 cm,5 cm,36 cm,1.26 kg
BUSSIG,003.877.61,Everything in its place. With a box it's easier to keep track of all your little things.,Jennifer Idrizi,na,See Reviews,Dining,Towels & washcloths,1,15 cm,4 cm,24 cm,0.17 kg
BUSSIG,303.687.18,"A terry cloth towel with a hood for babies and toddlers. Made of 100% sustainably grown cotton ‒ a soft and natural material that feels good against your child's skin. Tested, approved and completely free from harmful substances and additives.",Jennifer Idrizi,5,5,Dining,Towels & washcloths,1,28 cm,1 cm,37 cm,0.36 kg
BUSSIG,603.687.45,"You’ll soon discover how useful these washcloths are for wiping after eating, changing diapers or for a runny nose. Keep them handy, wash and reuse over and over again – and save on wet wipes.",Jennifer Idrizi,1,5,Dining,Towels & washcloths,1,16 cm,4 cm,16 cm,0.11 kg
STJÄRNBILD,603.196.65,"A durable duvet cover of polyester and cotton with playful patterns in the form of small figures. Soft against your child's skin, and it gets softer after each wash.",Susana Rodriguez Fernandez,2,3.5,Dining,Bed linen,1,19 cm,3 cm,28 cm,0.38 kg
KLÄMMIG,403.730.74,"A terry cloth towel with a hood for babies and toddlers. Made of 100% sustainably grown cotton ‒ a soft and natural material that feels good against your child's skin. Tested, approved and completely free from harmful substances and additives.",Jennifer Idrizi,4,5,Dining,Towels & washcloths,1,28 cm,1 cm,37 cm,0.29 kg
KLÄMMIG,603.731.86,"A terry cloth towel with a hood for babies and toddlers. Made of 100% sustainably grown cotton ‒ a soft and natural material that feels good against your child's skin. Tested, approved and completely free from harmful substances and additives.",Jennifer Idrizi,5,5,Dining,Towels & washcloths,1,26 cm,3 cm,32 cm,0.41 kg
LENAST,103.730.61,Your baby sleeps well under this cool and comfortable comforter. The soft fabric is woven from lyocell and sustainably grown cotton ‒ easy-care natural material that breathes and transports moisture away.,Jennifer Idrizi,4,3.8,Dining,Comforters & pillows,1,na,na,34 cm,0.74 kg
SKÖTSAM,803.687.30,"A cover made of cotton and polyester, soft materials that feel comfortable against your child's skin.",Jennifer Idrizi,2,5,Dining,Towels & washcloths,1,13 cm,4 cm,29 cm,0.19 kg
MALM,102.036.10,"It’s really a dressing table – with space for makeup and jewelry inside. But, works just as well as a desk, a place to unload keys or mail in the entrance or to pile magazines behind the couch.",Eva Lilja Löwenhielm,45,4.2,Dining,Dressing tables,1,45 cm,12 cm,148 cm,22.55 kg
HEMNES,603.849.67,"Plenty of space for your daily makeup and styling.
								                                                                                          
								Practical storage solution for everything from jewelry to undergarments.",K Hagberg/M Hagberg,1,5,Dining,Dressing tables,1,46 cm,9 cm,77 cm,9.05 kg
HEMNES,303.744.13,"Dressing table or desk? You don’t need to decide – there’s enough space for both makeup, pens and a laptop. The soft shapes create a romantic silhouette that becomes the focal point in the room.",Carina Bengs,7,4.7,Dining,Dressing tables,1,53 cm,13 cm,102 cm,39.23 kg
TYSSEDAL,203.599.84,"Plenty of space for your daily makeup and styling.
								                                                                                          
								Smooth running drawer with pull-out stop.",Ebba Strandmark,na,See Reviews,Dining,Dressing tables,1,72 cm,5 cm,125 cm,21.25 kg
BRIMNES,702.904.59,"Next to the drawer there’s a hinged lid that hides both mirror and practical compartments. Whether you use it as a dressing table, desk or sideboard, you can combine it with other furniture in the series.",K Hagberg/M Hagberg,41,4.6,Dining,Dressing tables,1,43 cm,11 cm,80 cm,21.00 kg
NUTID,702.885.74,5-year Limited Warranty. Read about the terms in the Limited Warranty brochure.,IKEA of Sweden,3,3.7,Dining,Ovens,1,88 cm,78 cm,134 cm,120.66 kg
NUTID,402.885.75,5-year Limited Warranty. Read about the terms in the Limited Warranty brochure.,IKEA of Sweden,8,3.6,Dining,Ovens,1,79 cm,77 cm,88 cm,67.00 kg
NUTID,702.885.88,5-year Limited Warranty. Read about the terms in the Limited Warranty brochure.,IKEA of Sweden,7,3.1,Dining,Ovens,1,87 cm,79 cm,95 cm,74.84 kg
NUTID,502.885.89,5-year Limited Warranty. Read about the terms in the Limited Warranty brochure.,IKEA of Sweden,3,2.3,Dining,Ovens,1,87 cm,79 cm,95 cm,74.84 kg
ANILINARE,704.021.12,The decorative box has 3 hidden compartments for small things.,IKEA of Sweden/S Edholm/L Ullenius,3,5,Dining,Stationary,1,na,na,14 cm,0.22 kg
FULLFÖLJA,302.729.85,,Johanna Jelinek,7,3.9,Dining,"Wrapping paper, gift bags & accessories",1,6 cm,4 cm,10 cm,0.13 kg
FULLFÖLJA,003.590.51,,,6,4,Dining,"Wrapping paper, gift bags & accessories",1,na,na,9 cm,0.12 kg
FULLFÖLJA,102.729.91,,Johanna Jelinek,8,3.9,Dining,Stationary,1,6 cm,1 cm,15 cm,0.03 kg
FULLFÖLJA,304.022.89,"If you want to store small and larger things in the same box, you can combine the insert with TJENA, FJÄLLA and KVARNVIK boxes, 9¾x13¾x7¾"".",,4,4.3,Dining,Stationary,1,23 cm,6 cm,33 cm,0.32 kg
KNALLGUL,204.255.97,A small desk pad or a larger note pad? You decide. Our KNALLGUL collection with desk accessories helps you make everyday living a little more organized – and colorful.,IKEA of Sweden/S Edholm/L Ullenius,na,See Reviews,Dining,Stationary,1,27 cm,2 cm,27 cm,0.84 kg
LANKMOJ,504.022.69,You can use the pen cups on their own or attach them together using the built-in magnets.,IKEA of Sweden/S Edholm/L Ullenius,2,5,Dining,Stationary,1,10 cm,7 cm,17 cm,0.09 kg
ANILINARE,404.021.04,A decorative gift box for a friend or a practical box to use for your own small things.,IKEA of Sweden/S Edholm/L Ullenius,7,5,Dining,Stationary,1,18 cm,12 cm,18 cm,0.38 kg
LANKMOJ,004.022.62,Playfully patterned boxes that help you to organize everything on and near the desk. The sturdy construction is made of paper. The LANKMOJ series also fits well with TJENA boxes.,IKEA of Sweden/S Edholm/L Ullenius,3,4.7,Dining,Stationary,1,23 cm,7 cm,32 cm,0.81 kg
FULLFÖLJA,202.729.81,Comfortable to grip as the inside of the handle is made of soft rubber.,Johanna Jelinek,16,2.4,Dining,"Wrapping paper, gift bags & accessories",1,11 cm,1 cm,21 cm,0.10 kg
ANILINARE,804.020.41,The notebook’s shape lasts longer thanks to the rounded corners.,IKEA of Sweden/S Edholm/L Ullenius,na,See Reviews,Dining,Stationary,1,15 cm,2 cm,21 cm,0.37 kg
GIVANDE,403.400.93,Hanging gift tags which you can use to decorate your presents.,S Edholm/L Ullenius,1,4,Dining,"Wrapping paper, gift bags & accessories",1,6 cm,1 cm,10 cm,0.01 kg
GIVANDE,703.401.00,"The stickers let you add your own personal touch to jars, bottles and gift bags.",S Edholm/L Ullenius,3,4.3,Dining,"Wrapping paper, gift bags & accessories",1,6 cm,5 cm,8 cm,0.09 kg
FULLFÖLJA,403.373.02,"With this patterned paper tape, you can decorate your gifts, boxes and cards in an instant. The paper tape is just as easy to fix and remove – and it leaves no marks.",IKEA of Sweden,1,5,Dining,Stationary,1,na,na,6 cm,0.03 kg
ANILINARE,804.021.16,A lot to remember? A note pad can be a big help.,IKEA of Sweden/S Edholm/L Ullenius,na,See Reviews,Dining,Stationary,1,12 cm,1 cm,18 cm,0.13 kg
LANKMOJ,104.022.28,A lot to remember? A note pad can be a big help.,IKEA of Sweden/S Edholm/L Ullenius,na,See Reviews,Dining,Stationary,1,12 cm,1 cm,18 cm,0.13 kg
ANILINARE,304.021.09,"With these self-adhesive lables and stickers, you quickly personalize your presents, notebooks and boxes.",IKEA of Sweden/S Edholm/L Ullenius,1,5,Dining,Stationary,1,18 cm,0 cm,21 cm,0.09 kg
LANKMOJ,204.022.42,"With these self-adhesive lables and stickers, you quickly personalize your presents, notebooks and boxes.",IKEA of Sweden/S Edholm/L Ullenius,na,See Reviews,Dining,Stationary,1,18 cm,0 cm,21 cm,0.09 kg
FULLFÖLJA,004.022.76,"If you want the notebook close at hand, thanks to the magnet on the backside you can attach it to the fridge or any other metal surface.",,na,See Reviews,Dining,Stationary,1,8 cm,1 cm,15 cm,0.12 kg
GIVANDE,503.481.16,,IKEA of Sweden,2,4.5,Dining,"Wrapping paper, gift bags & accessories",1,na,na,5 cm,0.07 kg
